latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
65.513,-18.2664,300.9,2.1,1.4,2022-07-23,1437,Aqua,MODIS,0,6.03,286.6,9.3,D,0
63.9005,-22.2341,338.8,1.1,1,2022-08-03,1415,Aqua,MODIS,61,6.03,284.4,41.6,D,2
63.8915,-22.228,315.8,1.1,1,2022-08-03,1415,Aqua,MODIS,39,6.03,288.4,13.5,D,2
63.9004,-22.2299,394.1,1.2,1.1,2022-08-03,2212,Terra,MODIS,100,6.03,287.5,295.7,N,2
63.8818,-22.3215,302.4,1.2,1.1,2022-08-03,2212,Terra,MODIS,21,6.03,274.6,9.9,N,2
63.8958,-22.2525,471,1.2,1.1,2022-08-03,2212,Terra,MODIS,100,6.03,312.6,1369.4,N,2
63.9049,-22.2616,326,1.2,1.1,2022-08-03,2212,Terra,MODIS,100,6.03,277.8,35.4,N,2
63.8996,-22.2906,377.8,2.9,1.6,2022-08-03,2350,Terra,MODIS,100,6.03,281.3,686.3,N,2
63.9008,-22.2312,398.7,2.9,1.6,2022-08-03,2350,Terra,MODIS,100,6.03,285.1,1160.6,N,2
63.8926,-22.2536,313,1.4,1.2,2022-08-04,0340,Aqua,MODIS,76,6.03,279.6,25,N,2
63.9007,-22.2202,402.1,1.4,1.2,2022-08-04,0340,Aqua,MODIS,100,6.03,292.7,454.6,N,2
63.9031,-22.2486,460.2,1.4,1.2,2022-08-04,0340,Aqua,MODIS,100,6.03,306.1,1450.8,N,2
63.9137,-22.244,308.5,1.4,1.2,2022-08-04,0340,Aqua,MODIS,75,6.03,275.2,20.6,N,2
63.9072,-22.2601,398.9,2.1,1.4,2022-08-04,0518,Aqua,MODIS,100,6.03,281,756.6,N,2
63.8965,-22.2227,426.6,2.1,1.4,2022-08-04,0518,Aqua,MODIS,100,6.03,294.6,1388.2,N,2
63.8923,-22.1848,323.8,3.2,1.7,2022-08-04,1136,Terra,MODIS,77,6.03,290.9,108.3,D,2
63.8966,-22.2572,395.9,3.2,1.7,2022-08-04,1136,Terra,MODIS,100,6.03,302.3,1216.3,D,2
63.9084,-22.2486,342.2,3.2,1.7,2022-08-04,1136,Terra,MODIS,91,6.03,293.7,241.4,D,2
