latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
29.763,34.9812,306.5,1.1,1,2022-01-01,0828,Terra,MODIS,64,6.03,290.6,6.7,D,0
32.9526,35.8369,309,1.3,1.1,2022-01-13,1035,Aqua,MODIS,68,6.03,289.5,12.3,D,0
31.3322,34.9221,308.1,1.1,1.1,2022-02-09,0833,Terra,MODIS,64,6.03,291.3,8.1,D,0
31.3267,34.9273,303.2,1.1,1.1,2022-02-09,0833,Terra,MODIS,44,6.03,291.1,5.5,D,0
32.8897,35.0918,301.6,1.1,1.1,2022-02-09,0833,Terra,MODIS,0,6.03,290.9,4,D,2
31.5897,34.7851,302.6,1.1,1.1,2022-03-13,0832,Terra,MODIS,26,6.03,289.6,5.1,D,2
31.5259,34.6095,308.5,1.1,1,2022-03-13,0832,Terra,MODIS,35,6.03,290.8,8.5,D,2
31.8025,34.7471,308.1,1,1,2022-03-23,1051,Aqua,MODIS,66,6.03,294.1,5.9,D,0
33.1279,35.7902,336.5,1,1,2022-05-02,0818,Terra,MODIS,83,6.03,307.8,27.6,D,0
33.1264,35.8008,339.5,1,1,2022-05-02,0818,Terra,MODIS,86,6.03,306.8,31.8,D,0
31.5543,34.9283,311.1,1,1,2022-05-14,1943,Terra,MODIS,82,6.03,292.3,9.5,N,0
32.0566,34.9632,302.7,1.5,1.2,2022-05-18,1919,Terra,MODIS,50,6.03,290.5,10.5,N,0
32.0535,34.9468,301.9,1.6,1.2,2022-05-18,1919,Terra,MODIS,45,6.03,290.2,9.9,N,0
32.4737,35.538,338.3,1.4,1.2,2022-05-18,1919,Terra,MODIS,100,6.03,294.1,66.5,N,0
32.4711,35.5235,325.9,1.4,1.2,2022-05-18,1919,Terra,MODIS,100,6.03,293.9,38.9,N,0
32.4742,35.5309,311.9,1,1,2022-05-18,2338,Aqua,MODIS,84,6.03,292,11.5,N,0
32.4726,35.5415,303.8,1,1,2022-05-18,2338,Aqua,MODIS,57,6.03,291,6.1,N,0
33.0982,35.6925,333.1,1.2,1.1,2022-06-21,0804,Terra,MODIS,78,6.03,311.5,22.2,D,0
