latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
35.0254,136.8659,307.1,1,1,2022-01-01,1253,Terra,MODIS,65,6.03,275.7,12.1,N,2
35.0249,136.8682,303.5,1.2,1.1,2022-01-02,0419,Aqua,MODIS,0,6.03,285.3,8.8,D,2
35.0265,136.8815,302.1,1.2,1.1,2022-01-02,0419,Aqua,MODIS,44,6.03,284.8,7.9,D,2
35.9347,140.6791,303.1,1.2,1.1,2022-01-03,0138,Terra,MODIS,0,6.03,284.8,9.2,D,2
35.0274,136.8734,324.4,1,1,2022-01-03,0139,Terra,MODIS,63,6.03,284.3,22.9,D,2
35.3531,139.8774,301.8,1.2,1.1,2022-01-03,0139,Terra,MODIS,0,6.03,283.3,8.3,D,2
40.5322,141.5008,312.9,1.3,1.1,2022-01-03,0325,Aqua,MODIS,0,6.03,273.1,25.1,D,2
35.0245,136.8661,307.8,1.2,1.1,2022-01-03,1241,Terra,MODIS,73,6.03,277.8,15.4,N,2
40.5328,141.5014,327.8,1.2,1.1,2022-01-03,1242,Terra,MODIS,97,6.03,266.9,0,N,2
35.9286,140.6795,302.7,1.4,1.2,2022-01-04,0406,Aqua,MODIS,0,6.03,287.2,8.3,D,2
35.352,139.8678,305.4,1.2,1.1,2022-01-04,0406,Aqua,MODIS,0,6.03,289.5,9.3,D,2
35.929,140.6809,306.8,1,1,2022-01-05,0126,Terra,MODIS,0,6.03,282.8,8.5,D,2
35.3553,139.8764,304.9,1,1,2022-01-05,0126,Terra,MODIS,0,6.03,283.6,8.5,D,2
35.9379,140.6829,309.6,1,1,2022-01-05,0126,Terra,MODIS,22,6.03,283.4,10.1,D,2
35.0302,136.8748,308.2,1.2,1.1,2022-01-05,0127,Terra,MODIS,0,6.03,283.3,13.1,D,2
34.9238,139.0218,301.9,1,1,2022-01-05,0127,Terra,MODIS,50,6.03,277.5,8.6,D,0
40.534,141.4995,306.1,1,1,2022-01-05,1230,Terra,MODIS,41,6.03,267.7,13.2,N,2
29.6419,129.7155,360,1.3,1.1,2022-01-06,1311,Terra,MODIS,100,6.03,284,0,N,1
35.031,136.8796,302.5,1.7,1.3,2022-01-07,0114,Terra,MODIS,0,6.03,282.7,15.6,D,2
35.0273,136.8852,302.3,1.7,1.3,2022-01-07,0114,Terra,MODIS,24,6.03,281.6,13.6,D,2
33.9189,130.8429,300.4,1.1,1,2022-01-07,0437,Aqua,MODIS,0,6.03,289.3,3.5,D,2
35.3545,139.8768,302.8,1.1,1.1,2022-01-08,0342,Aqua,MODIS,0,6.03,285.6,7.6,D,2
35.0262,136.8715,304.6,1.1,1,2022-01-08,1259,Terra,MODIS,61,6.03,276.4,11.9,N,2
29.6414,129.7195,314.5,1.1,1,2022-01-08,1724,Aqua,MODIS,85,6.03,282,18.1,N,1
32.4097,131.6088,313,1,1,2022-01-09,0424,Aqua,MODIS,73,6.03,288.7,12.6,D,2
35.0314,136.8823,302.8,1,1,2022-01-10,0145,Terra,MODIS,40,6.03,286.6,5.5,D,2
35.0242,136.869,304.8,1,1,2022-01-10,0145,Terra,MODIS,0,6.03,286.4,6.3,D,2
34.6037,135.4625,300.3,1,1,2022-01-10,0145,Terra,MODIS,0,6.03,284.6,4.1,D,2
35.9328,140.6764,302.1,1.1,1,2022-01-12,0132,Terra,MODIS,0,6.03,282.7,7.7,D,2
35.0297,136.8717,304.1,1.4,1.2,2022-01-12,1235,Terra,MODIS,58,6.03,276.2,17.7,N,2
35.9298,140.6779,304,1,1,2022-01-12,1235,Terra,MODIS,35,6.03,276.8,9.5,N,2
40.5335,141.5011,310.9,1,1,2022-01-14,0119,Terra,MODIS,42,6.03,274.9,15.8,D,2
