latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-1.8095,36.6304,326,1.4,1.2,2022-01-02,0742,Terra,MODIS,61,6.03,307.7,14.7,D,0
0.5525,34.1647,318.9,1.2,1.1,2022-01-03,1128,Aqua,MODIS,57,6.03,298,9.9,D,0
0.599,34.1828,318.9,1.2,1.1,2022-01-03,1128,Aqua,MODIS,57,6.03,294.1,9.3,D,0
0.4705,36.3538,328.4,1.6,1.2,2022-01-03,1128,Aqua,MODIS,64,6.03,310.9,21.4,D,0
-0.0606,35.1483,328.7,1.3,1.1,2022-01-03,1128,Aqua,MODIS,74,6.03,308.3,21.4,D,0
0.8256,35.4047,325.2,1.4,1.2,2022-01-03,1128,Aqua,MODIS,61,6.03,310.4,11.9,D,0
0.8239,35.3926,332.6,1.4,1.2,2022-01-03,1128,Aqua,MODIS,77,6.03,312,27.2,D,0
4.0256,34.446,331.3,1.3,1.1,2022-01-03,1129,Aqua,MODIS,52,6.03,304.3,26.9,D,0
-0.0504,35.1535,300.3,1.3,1.1,2022-01-04,1950,Terra,MODIS,25,6.03,282.3,6.9,N,0
2.4729,35.3822,335.9,1.1,1.1,2022-01-05,0811,Terra,MODIS,48,6.03,306.8,23.3,D,0
1.1074,34.9505,320.3,1.1,1,2022-01-05,0811,Terra,MODIS,68,6.03,306.4,7.3,D,0
0.9581,34.7783,318.6,1.1,1,2022-01-05,0811,Terra,MODIS,40,6.03,300.4,7.7,D,0
0.2922,35.4175,320.5,1.2,1.1,2022-01-05,0812,Terra,MODIS,49,6.03,300.1,13,D,0
-1.246,36.9417,321.6,1.1,1,2022-01-05,1115,Aqua,MODIS,61,6.03,300.2,7.3,D,2
-0.0513,34.2438,311.7,1,1,2022-01-05,1115,Aqua,MODIS,46,6.03,290.4,6.1,D,0
0.6419,35.3614,321,1,1,2022-01-07,0759,Terra,MODIS,27,6.03,303.9,11.5,D,0
-0.0126,35.195,327.1,1.3,1.1,2022-01-07,1103,Aqua,MODIS,55,6.03,301.5,21.1,D,0
0.4861,36.3184,331.5,1.1,1,2022-01-07,1103,Aqua,MODIS,65,6.03,305.1,25.6,D,0
0.4847,36.3088,348.5,1.1,1,2022-01-07,1103,Aqua,MODIS,94,6.03,302,57.9,D,0
1.0854,34.8677,326.8,1.3,1.1,2022-01-07,1104,Aqua,MODIS,78,6.03,307.3,20.6,D,0
0.0559,34.0476,323.9,2.4,1.5,2022-01-08,1146,Aqua,MODIS,66,6.03,296.2,51.8,D,0
0.8708,34.439,334.6,1.7,1.3,2022-01-09,0747,Terra,MODIS,74,6.03,309.5,52.4,D,0
1.182,34.8339,323,1.6,1.2,2022-01-09,0747,Terra,MODIS,40,6.03,307.1,13.9,D,0
1.1801,34.8478,327,1.6,1.2,2022-01-09,0747,Terra,MODIS,74,6.03,310.4,21.9,D,0
1.1797,34.8412,329.8,1.6,1.2,2022-01-09,0747,Terra,MODIS,78,6.03,307.9,29.6,D,0
0.8732,34.4316,325.9,1.7,1.3,2022-01-09,0747,Terra,MODIS,63,6.03,308.6,27.8,D,0
0.8706,34.4485,341.3,1.7,1.3,2022-01-09,0747,Terra,MODIS,89,6.03,308.9,77.2,D,0
0.4835,36.2983,327.4,1.2,1.1,2022-01-09,0747,Terra,MODIS,75,6.03,305.4,20.8,D,0
-0.1281,35.0123,324.7,1.5,1.2,2022-01-09,0747,Terra,MODIS,68,6.03,310.6,12.9,D,0
0.0654,34.0425,322.6,2.6,1.5,2022-01-09,1051,Aqua,MODIS,40,6.03,303.3,41.2,D,0
2.3484,36.1671,333.6,1.6,1.2,2022-01-09,1052,Aqua,MODIS,73,6.03,317,17.6,D,0
1.8295,36.3947,309.8,1.3,1.1,2022-01-09,2009,Terra,MODIS,77,6.03,297.4,9.9,N,0
0.8052,35.3906,321,2.5,1.5,2022-01-10,0830,Terra,MODIS,68,6.03,304.4,33.6,D,0
-1.1782,36.3865,344.2,2,1.4,2022-01-10,1133,Aqua,MODIS,90,6.03,314,86,D,0
-1.1859,36.3806,336.1,2,1.4,2022-01-10,1133,Aqua,MODIS,81,6.03,313.3,51.1,D,0
0.7161,35.4095,340.6,1.8,1.3,2022-01-10,1134,Aqua,MODIS,81,6.03,310.5,67.7,D,0
0.3786,34.5136,323,1.5,1.2,2022-01-10,1134,Aqua,MODIS,46,6.03,306.7,11.2,D,0
0.3766,34.5004,323.8,1.5,1.2,2022-01-10,1134,Aqua,MODIS,62,6.03,307.1,12.7,D,0
0.7184,35.4252,340,1.8,1.3,2022-01-10,1134,Aqua,MODIS,81,6.03,311.3,66.2,D,0
0.8266,35.2875,323.7,2.5,1.5,2022-01-11,0734,Terra,MODIS,73,6.03,300.5,47.8,D,0
0.6049,35.2136,325.3,2.5,1.5,2022-01-11,0735,Terra,MODIS,76,6.03,301.4,56,D,0
0.2983,35.2825,311.6,2.5,1.5,2022-01-11,0735,Terra,MODIS,57,6.03,295.6,15.7,D,0
0.0285,35.1836,323.4,3.7,1.8,2022-01-11,1039,Aqua,MODIS,72,6.03,301.4,91.3,D,0
0.02,35.1912,326.6,3.7,1.8,2022-01-11,1039,Aqua,MODIS,78,6.03,303.3,108.3,D,0
0.0518,34.0504,308.7,1.2,1.1,2022-01-11,1956,Terra,MODIS,75,6.03,288.2,13.3,N,0
0.233,34.9507,303.9,1.1,1,2022-01-11,1956,Terra,MODIS,58,6.03,292.5,6.2,N,0
-0.0037,35.226,339.3,1.1,1,2022-01-11,1956,Terra,MODIS,100,6.03,293.7,47,N,0
-0.0051,35.2165,307.7,1.1,1,2022-01-11,1956,Terra,MODIS,72,6.03,291.8,9.2,N,0
-0.0087,35.2317,327.4,1.4,1.2,2022-01-11,2300,Aqua,MODIS,100,6.03,289.3,45.4,N,0
-0.0068,35.2188,300.2,1.4,1.2,2022-01-11,2300,Aqua,MODIS,21,6.03,287.9,8.8,N,0
1.163,34.8183,322.2,1.3,1.1,2022-01-12,0817,Terra,MODIS,46,6.03,309,10.2,D,0
0.8252,35.3894,317.8,1.4,1.2,2022-01-12,0817,Terra,MODIS,50,6.03,305.2,9.9,D,0
0.3724,35.2686,316,1.4,1.2,2022-01-12,0817,Terra,MODIS,48,6.03,303.9,8.4,D,0
0.2912,35.3081,320.9,1.4,1.2,2022-01-12,0817,Terra,MODIS,67,6.03,304.3,16.3,D,0
0.3512,34.4993,320,1.3,1.1,2022-01-12,0817,Terra,MODIS,65,6.03,303.9,10.5,D,0
-0.2006,35.5951,321.2,1.5,1.2,2022-01-12,0818,Terra,MODIS,73,6.03,304,20.4,D,0
-0.2028,35.5891,320.1,1.5,1.2,2022-01-12,0818,Terra,MODIS,68,6.03,304.1,17.9,D,0
-0.667,34.3328,320.4,1.3,1.1,2022-01-12,0818,Terra,MODIS,58,6.03,305.8,12.7,D,0
-0.6675,34.3378,322.6,1.3,1.1,2022-01-12,0818,Terra,MODIS,72,6.03,305.9,14.8,D,0
-1.4408,34.8036,328.1,1.4,1.2,2022-01-12,0818,Terra,MODIS,69,6.03,308.7,20.3,D,0
-1.7567,35.8458,335.7,1.1,1,2022-01-12,1121,Aqua,MODIS,78,6.03,312,25,D,0
-1.7474,35.8445,330.5,1.1,1,2022-01-12,1121,Aqua,MODIS,67,6.03,310.5,17.4,D,0
-0.7948,36.1361,332.5,1.2,1.1,2022-01-12,1121,Aqua,MODIS,81,6.03,305.5,24.7,D,0
