latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-11.1584,33.595,308.7,1.2,1.1,2022-03-01,1118,Aqua,MODIS,32,6.03,293.1,4,D,0
-15.7772,35.0398,314,1,1,2022-03-31,1127,Aqua,MODIS,35,6.03,298.6,7,D,2
-14.9727,35.7135,311.6,2.7,1.6,2022-05-05,1154,Aqua,MODIS,48,6.03,297.4,24.2,D,0
-16.433,35.0565,308.9,2.4,1.5,2022-05-06,1059,Aqua,MODIS,52,6.03,296.4,15.8,D,0
-16.4353,35.0839,311.9,1.3,1.2,2022-05-07,1141,Aqua,MODIS,48,6.03,300,8.9,D,0
-16.4373,35.0714,311.3,1.3,1.1,2022-05-07,1141,Aqua,MODIS,44,6.03,299.1,8.1,D,0
-14.0599,34.5147,321.4,1.4,1.2,2022-05-07,1142,Aqua,MODIS,41,6.03,305.5,11.2,D,0
-14.3203,34.6963,314.8,1,1,2022-05-08,0754,Terra,MODIS,51,6.03,300.8,4.2,D,0
-16.4364,35.0793,322.5,1,1,2022-05-09,1129,Aqua,MODIS,74,6.03,301.9,14.8,D,0
-14.4274,35.648,321,1.1,1,2022-05-09,1129,Aqua,MODIS,71,6.03,305.4,9.2,D,0
-14.4545,34.6593,318,1,1,2022-05-09,1129,Aqua,MODIS,46,6.03,304.8,6.3,D,0
-12.1447,33.8273,312.1,1,1,2022-05-09,1130,Aqua,MODIS,50,6.03,298,8,D,0
-11.9944,33.8012,325.3,1.4,1.2,2022-05-13,2027,Terra,MODIS,100,6.03,283.3,44,N,0
-11.9853,33.8085,304.7,1.5,1.2,2022-05-13,2333,Aqua,MODIS,61,6.03,280.7,17.7,N,0
-14.9763,35.7248,311.5,1.9,1.4,2022-05-14,1147,Aqua,MODIS,42,6.03,297.1,14.3,D,0
-14.3356,34.8,315.3,1.1,1,2022-05-15,0800,Terra,MODIS,69,6.03,301.5,8.1,D,0
-12.4621,34.1666,327.3,1.1,1,2022-05-15,2320,Aqua,MODIS,100,6.03,284.2,32.1,N,0
-16.4371,35.0803,310.8,1.1,1,2022-05-16,1134,Aqua,MODIS,50,6.03,296,7.3,D,0
-14.4946,34.7773,317.6,1.1,1,2022-05-16,1134,Aqua,MODIS,72,6.03,303.1,8.4,D,0
-14.4962,34.7672,316.5,1.1,1,2022-05-16,1134,Aqua,MODIS,70,6.03,303.6,7.2,D,0
-14.4035,34.7664,316.7,1.1,1,2022-05-16,1134,Aqua,MODIS,71,6.03,301.6,7.8,D,0
-13.8982,34.4313,315.5,1.1,1,2022-05-18,1122,Aqua,MODIS,64,6.03,300.8,7.6,D,0
-14.9938,35.742,318.6,2.4,1.5,2022-05-21,1152,Aqua,MODIS,32,6.03,299.3,30.7,D,0
-14.9879,35.6708,315.4,1.4,1.2,2022-05-23,1139,Aqua,MODIS,48,6.03,298.5,10.2,D,0
-13.9258,33.8489,313.8,1,1,2022-05-24,0753,Terra,MODIS,51,6.03,300.2,5.3,D,0
-14.4245,34.7375,313.8,1,1,2022-05-24,0753,Terra,MODIS,61,6.03,299.6,4.4,D,0
-12.5001,34.1622,351.3,1,1,2022-05-24,2313,Aqua,MODIS,100,6.03,292.5,65.7,N,0
-12.5015,34.1713,323.2,1,1,2022-05-24,2313,Aqua,MODIS,100,6.03,292,21.4,N,0
-16.4345,35.075,321.6,1,1,2022-05-25,1126,Aqua,MODIS,73,6.03,301.6,13.9,D,0
-16.3532,34.932,316.1,1,1,2022-05-25,1126,Aqua,MODIS,63,6.03,303.7,5.4,D,0
-14.364,34.7549,318.4,1,1,2022-05-25,1127,Aqua,MODIS,72,6.03,300.4,7.7,D,0
-14.3653,34.7457,317.3,1,1,2022-05-25,1127,Aqua,MODIS,70,6.03,301.6,6.7,D,0
-16.446,35.0753,313,1.3,1.1,2022-05-27,1114,Aqua,MODIS,57,6.03,298.5,10,D,0
-15.1281,35.1084,318.3,1.2,1.1,2022-05-27,1114,Aqua,MODIS,71,6.03,303.3,12.1,D,0
-14.9964,35.8064,334,1.1,1.1,2022-05-27,1114,Aqua,MODIS,86,6.03,303.1,32.8,D,0
-14.9879,35.6905,320.8,1.2,1.1,2022-05-27,1114,Aqua,MODIS,68,6.03,305.1,12.2,D,0
-14.9826,35.6571,320.4,1.2,1.1,2022-05-27,1114,Aqua,MODIS,73,6.03,304.2,14.1,D,0
-14.5414,35.3098,319.7,1.2,1.1,2022-05-27,1114,Aqua,MODIS,64,6.03,305.9,11.6,D,0
-14.5302,35.3194,315.3,1.2,1.1,2022-05-27,1114,Aqua,MODIS,49,6.03,303.3,6.5,D,0
-14.5317,35.3084,315.9,1.2,1.1,2022-05-27,1114,Aqua,MODIS,52,6.03,303.4,7.1,D,0
-14.4031,34.7332,318.1,1.3,1.1,2022-05-27,1114,Aqua,MODIS,68,6.03,306.2,11.3,D,0
-14.3391,34.7536,329,1.3,1.1,2022-05-27,1114,Aqua,MODIS,82,6.03,305.5,26.5,D,0
-14.3184,34.8342,330.1,1.3,1.1,2022-05-27,1114,Aqua,MODIS,83,6.03,305.3,29.4,D,0
