latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
16.635,-15.2635,327.3,1,1,2022-01-03,1137,Terra,MODIS,80,6.03,307.8,15.3,D,0
16.5669,-16.085,320.8,1.3,1.1,2022-01-05,1125,Terra,MODIS,42,6.03,292.5,15.8,D,0
16.6205,-15.2013,315.5,1.1,1.1,2022-01-05,1125,Terra,MODIS,37,6.03,299.6,6.6,D,0
16.6373,-15.2525,325.8,1.1,1.1,2022-01-05,1125,Terra,MODIS,75,6.03,304.4,16.8,D,0
16.5533,-15.5985,315.1,1.2,1.1,2022-01-05,1125,Terra,MODIS,46,6.03,297.4,9,D,0
16.6387,-15.263,334.7,1.1,1.1,2022-01-05,1125,Terra,MODIS,85,6.03,306.3,30.4,D,0
16.5577,-15.6314,315.7,1.2,1.1,2022-01-05,1125,Terra,MODIS,41,6.03,297.5,7.9,D,0
16.917,-15.177,321.4,1.1,1.1,2022-01-05,1125,Terra,MODIS,59,6.03,301.3,11.7,D,0
14.8306,-12.2655,330.9,3.1,1.7,2022-01-06,1342,Aqua,MODIS,80,6.03,308.8,95.4,D,0
14.8317,-12.259,332.3,3.1,1.7,2022-01-06,1342,Aqua,MODIS,81,6.03,308.8,100,D,0
14.8103,-12.2913,325.6,3.2,1.7,2022-01-06,1342,Aqua,MODIS,39,6.03,304.6,64.7,D,0
14.8359,-12.2371,322.9,3.1,1.7,2022-01-06,1342,Aqua,MODIS,29,6.03,307.4,44.9,D,0
14.8116,-12.2847,328.7,3.2,1.7,2022-01-06,1342,Aqua,MODIS,28,6.03,306,80.6,D,0
15.6132,-7.9518,333.1,2.3,1.5,2022-01-07,1425,Aqua,MODIS,80,6.03,309.9,62.4,D,0
15.6015,-7.9428,326.6,2.3,1.5,2022-01-07,1425,Aqua,MODIS,58,6.03,313,32.6,D,0
15.6121,-7.9653,340.4,2.3,1.5,2022-01-07,1425,Aqua,MODIS,87,6.03,308.1,97.3,D,0
15.6002,-7.9502,326.5,2.3,1.5,2022-01-07,1425,Aqua,MODIS,70,6.03,312.8,34.9,D,0
16.575,-16.0704,326.7,1,1,2022-01-07,1425,Aqua,MODIS,43,6.03,314.7,5.8,D,0
15.9728,-5.6596,327.8,1.6,1.3,2022-01-08,1330,Aqua,MODIS,34,6.03,310.8,21.5,D,0
15.9704,-5.6745,327.9,1.6,1.3,2022-01-08,1330,Aqua,MODIS,39,6.03,310.2,22,D,0
16.5769,-15.626,328.1,1,1,2022-01-12,1131,Terra,MODIS,74,6.03,303.5,14.9,D,0
15.5055,-6.755,330.1,1.1,1,2022-01-13,1348,Aqua,MODIS,68,6.03,314.1,11.1,D,0
15.7858,-5.9237,337.5,1,1,2022-01-13,1348,Aqua,MODIS,81,6.03,316,19.7,D,0
15.7948,-5.9251,331.1,1,1,2022-01-13,1348,Aqua,MODIS,70,6.03,315.9,10.9,D,0
16.7272,-14.8848,323.5,1.3,1.1,2022-01-14,1119,Terra,MODIS,61,6.03,307.1,12,D,0
16.5923,-15.1832,320.3,1.4,1.2,2022-01-14,1119,Terra,MODIS,19,6.03,304.9,10.6,D,0
16.5458,-16.3645,323.1,1.9,1.4,2022-01-15,1201,Terra,MODIS,66,6.03,302,33,D,0
15.0752,-12.2185,325.3,4.1,1.9,2022-01-15,1336,Aqua,MODIS,70,6.03,301.9,82.7,D,0
15.0634,-12.2192,325.4,4.1,1.9,2022-01-15,1336,Aqua,MODIS,71,6.03,302.6,84.8,D,0
16.5509,-16.3725,319.1,1.2,1.1,2022-01-17,1149,Terra,MODIS,47,6.03,301.3,10.6,D,0
16.5491,-16.3614,322.5,1.2,1.1,2022-01-17,1149,Terra,MODIS,68,6.03,301.3,14.9,D,0
16.5477,-16.368,324.5,1.2,1.1,2022-01-17,1149,Terra,MODIS,69,6.03,301.5,18.1,D,0
16.5376,-15.5687,316.7,4.2,1.9,2022-01-18,1054,Terra,MODIS,0,6.03,298.4,65.8,D,0
16.544,-15.6003,316.7,4.3,1.9,2022-01-18,1054,Terra,MODIS,52,6.03,298.1,65.1,D,0
16.5416,-15.6082,314.5,4.3,1.9,2022-01-18,1054,Terra,MODIS,32,6.03,297.7,49.4,D,0
16.5344,-15.5757,321.7,1,1,2022-01-19,1137,Terra,MODIS,48,6.03,306.3,9.8,D,0
16.5331,-15.5664,319.9,1,1,2022-01-19,1137,Terra,MODIS,35,6.03,305.1,7.8,D,0
16.5399,-15.9985,328.2,1.2,1.1,2022-01-21,1125,Terra,MODIS,74,6.03,309.4,17.9,D,0
16.5049,-16.0385,324.2,1.2,1.1,2022-01-21,1125,Terra,MODIS,36,6.03,310.8,12.8,D,0
16.5034,-16.027,326.3,1.2,1.1,2022-01-21,1125,Terra,MODIS,0,6.03,310,15.2,D,0
16.5961,-15.2185,322.4,1,1,2022-01-23,1425,Aqua,MODIS,38,6.03,307.1,6.3,D,0
16.5948,-15.2278,325.9,1,1,2022-01-23,1425,Aqua,MODIS,64,6.03,307.8,9.7,D,0
16.5465,-16.3741,316.9,1.5,1.2,2022-01-24,1155,Terra,MODIS,56,6.03,290,19.4,D,0
15.7121,-13.124,325.5,3.6,1.8,2022-01-31,1201,Terra,MODIS,63,6.03,305.7,80.5,D,0
16.5251,-15.6462,329.1,1.2,1.1,2022-02-01,1419,Aqua,MODIS,57,6.03,313.8,15.2,D,0
16.5235,-15.6568,333.5,1.2,1.1,2022-02-01,1419,Aqua,MODIS,75,6.03,313.7,21.9,D,0
16.6002,-15.1263,331,1.1,1.1,2022-02-06,1124,Terra,MODIS,71,6.03,309.1,21.3,D,0
16.5831,-15.5017,342.7,1.1,1.1,2022-02-06,1437,Aqua,MODIS,0,6.03,317.9,37.5,D,0
16.5817,-15.5123,331.1,1.1,1.1,2022-02-06,1437,Aqua,MODIS,44,6.03,315.4,15.9,D,0
16.2659,-10.8039,305.1,3.2,1.7,2022-02-08,0155,Aqua,MODIS,63,6.03,290.7,41.6,N,0
15.3848,-12.0338,332.7,1.2,1.1,2022-02-08,1425,Aqua,MODIS,67,6.03,319.1,14.4,D,0
15.3834,-12.0444,336.1,1.2,1.1,2022-02-08,1425,Aqua,MODIS,75,6.03,319.8,20.6,D,0
16.5546,-16.3274,344.6,1.1,1,2022-02-08,1425,Aqua,MODIS,87,6.03,316.1,37.8,D,0
16.1747,-5.5955,369,2,1.4,2022-02-10,1412,Aqua,MODIS,100,6.03,303.8,267.8,D,0
16.1812,-5.5847,329.8,2,1.4,2022-02-10,1412,Aqua,MODIS,60,6.03,299.6,41.7,D,0
16.1791,-5.6028,378.6,2,1.4,2022-02-10,1412,Aqua,MODIS,100,6.03,303.1,360.6,D,0
16.5855,-16.4024,326.2,1,1,2022-02-11,1142,Terra,MODIS,57,6.03,304.8,13.6,D,0
16.5841,-16.3928,323.4,1,1,2022-02-11,1142,Terra,MODIS,59,6.03,306.5,9.4,D,0
16.6131,-15.1678,323.1,2.2,1.4,2022-02-12,1401,Aqua,MODIS,39,6.03,307.7,35,D,0
16.5803,-15.3537,323.5,2.3,1.5,2022-02-12,1401,Aqua,MODIS,23,6.03,308.6,30.6,D,0
16.6122,-15.1747,327.1,2.2,1.4,2022-02-12,1401,Aqua,MODIS,65,6.03,307.5,47.8,D,0
16.5948,-15.3419,326.3,2.3,1.5,2022-02-12,1401,Aqua,MODIS,58,6.03,308.1,40.4,D,0
15.1157,-12.569,324.3,1.1,1.1,2022-02-13,1130,Terra,MODIS,57,6.03,309.7,8.8,D,0
16.5854,-15.5272,325.1,1.4,1.2,2022-02-13,1443,Aqua,MODIS,48,6.03,310.1,13.4,D,0
16.5646,-16.3743,322.3,1,1,2022-02-20,1136,Terra,MODIS,56,6.03,305.2,8.7,D,0
15.2222,-10.8612,344.3,1.5,1.2,2022-02-21,1354,Aqua,MODIS,86,6.03,313.4,56.7,D,0
15.22,-10.8748,332.5,1.5,1.2,2022-02-21,1354,Aqua,MODIS,64,6.03,312.8,22.9,D,0
15.2254,-10.8682,339.7,1.5,1.2,2022-02-21,1354,Aqua,MODIS,80,6.03,313.5,41.3,D,0
16.0464,-7.8377,357,1.3,1.1,2022-02-26,1412,Aqua,MODIS,91,6.03,327.4,68.2,D,0
16.0394,-7.8311,358.4,1.3,1.1,2022-02-26,1412,Aqua,MODIS,98,6.03,324.3,72.8,D,0
16.0379,-7.8433,346.2,1.3,1.1,2022-02-26,1412,Aqua,MODIS,39,6.03,327.1,30.1,D,0
16.0363,-7.8555,345.9,1.3,1.1,2022-02-26,1412,Aqua,MODIS,49,6.03,325.9,31.6,D,0
16.0496,-7.8325,366.3,1.3,1.1,2022-02-26,1412,Aqua,MODIS,100,6.03,325.6,103.2,D,0
16.0464,-7.8569,355.8,1.3,1.1,2022-02-26,1412,Aqua,MODIS,85,6.03,325.6,60.2,D,0
16.0434,-7.8621,358.9,1.3,1.1,2022-02-26,1412,Aqua,MODIS,87,6.03,326.1,73.9,D,0
16.0582,-7.8269,347.3,1.3,1.1,2022-02-26,1412,Aqua,MODIS,79,6.03,318.5,41,D,0
16.0566,-7.8391,375.6,1.3,1.1,2022-02-26,1412,Aqua,MODIS,100,6.03,327,160.2,D,0
16.0668,-7.8405,339.9,1.3,1.1,2022-02-26,1412,Aqua,MODIS,28,6.03,319.5,22.7,D,0
16.0653,-7.8527,340.2,1.3,1.1,2022-02-26,1412,Aqua,MODIS,39,6.03,322.9,22.7,D,0
16.5548,-15.4116,321.2,2.3,1.5,2022-02-27,1455,Aqua,MODIS,0,6.03,302.1,26,D,0
14.836,-12.1128,396.4,1.3,1.1,2022-03-03,1430,Aqua,MODIS,100,6.03,314.3,321.3,D,0
14.8495,-12.0897,348.8,1.3,1.1,2022-03-03,1430,Aqua,MODIS,92,6.03,312.7,58.6,D,0
14.8479,-12.102,371.2,1.3,1.1,2022-03-03,1430,Aqua,MODIS,100,6.03,315.4,149.8,D,0
14.8463,-12.1142,360.1,1.3,1.1,2022-03-03,1430,Aqua,MODIS,100,6.03,311.9,99,D,0
14.8597,-12.0912,348.4,1.3,1.1,2022-03-03,1430,Aqua,MODIS,91,6.03,312.1,58.2,D,0
14.8581,-12.1034,337.4,1.3,1.1,2022-03-03,1430,Aqua,MODIS,79,6.03,310.8,27,D,0
14.8577,-12.0841,337.5,1.3,1.1,2022-03-03,1430,Aqua,MODIS,80,6.03,311.6,30.1,D,0
14.8562,-12.0964,347.8,1.3,1.1,2022-03-03,1430,Aqua,MODIS,91,6.03,313.5,57.4,D,0
14.8546,-12.1087,335.3,1.3,1.1,2022-03-03,1430,Aqua,MODIS,76,6.03,311.1,23.7,D,0
14.8376,-12.1006,362.4,1.3,1.1,2022-03-03,1430,Aqua,MODIS,100,6.03,312.9,109.3,D,0
14.8284,-12.0871,305.8,1.2,1.1,2022-03-04,0243,Aqua,MODIS,66,6.03,293.9,7.9,N,0
14.8526,-12.1159,320.4,1.2,1.1,2022-03-04,0243,Aqua,MODIS,100,6.03,295.3,19.6,N,0
14.8447,-12.1281,312,1.2,1.1,2022-03-04,0243,Aqua,MODIS,84,6.03,294.9,11.6,N,0
14.8701,-12.1021,305.6,1.2,1.1,2022-03-04,0243,Aqua,MODIS,65,6.03,293.8,6.5,N,0
14.8684,-12.0915,305.3,1.2,1.1,2022-03-04,0243,Aqua,MODIS,61,6.03,293.6,6.3,N,0
14.8638,-12.1249,310.4,1.2,1.1,2022-03-04,0243,Aqua,MODIS,43,6.03,294.2,9.6,N,0
14.8622,-12.1143,333.5,1.2,1.1,2022-03-04,0243,Aqua,MODIS,100,6.03,295.6,39.2,N,0
14.8605,-12.1037,306,1.2,1.1,2022-03-04,0243,Aqua,MODIS,15,6.03,293.8,6.1,N,0
14.8543,-12.1265,346.6,1.2,1.1,2022-03-04,0243,Aqua,MODIS,100,6.03,296.6,66.3,N,0
14.8575,-12.124,325.4,4.4,1.9,2022-03-04,1200,Terra,MODIS,63,6.03,306.4,89.3,D,0
14.8598,-12.1184,325.5,4.4,1.9,2022-03-04,1200,Terra,MODIS,64,6.03,306.6,86.6,D,0
15.637,-11.9136,328.2,2.1,1.4,2022-03-07,1053,Terra,MODIS,72,6.03,307.9,36.2,D,0
16.8047,-16.2943,337.4,1,1,2022-03-08,1136,Terra,MODIS,84,6.03,309.9,26,D,0
16.5383,-16.3631,331.2,1,1,2022-03-08,1136,Terra,MODIS,79,6.03,309.5,15.9,D,0
16.5369,-16.3538,328.6,1,1,2022-03-08,1136,Terra,MODIS,66,6.03,309.5,13,D,0
16.5294,-16.3644,324.9,1,1,2022-03-08,1136,Terra,MODIS,59,6.03,309.6,8.1,D,0
15.4384,-11.2398,334.7,2.1,1.4,2022-03-10,0206,Aqua,MODIS,100,6.03,288,97.1,N,0
