latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-21.0134,164.6882,332.5,1.6,1.3,2022-01-01,2332,Terra,MODIS,0,6.03,291.5,54.4,D,2
-21.0085,164.6945,350.4,1.8,1.3,2022-01-03,1402,Aqua,MODIS,100,6.03,294.1,144.5,N,2
-21.0113,164.6865,309.2,1.1,1,2022-01-04,1130,Terra,MODIS,65,6.03,293,9.2,N,2
-21.0147,164.6933,308,1,1,2022-01-08,1420,Aqua,MODIS,73,6.03,293.4,7.4,N,2
-21.0151,164.6839,340.1,1,1,2022-01-11,1136,Terra,MODIS,100,6.03,294.9,41.3,N,3
-21.0099,164.7046,314.4,2.2,1.4,2022-01-11,1451,Aqua,MODIS,85,6.03,291.6,38.9,N,2
-21.0089,164.6994,321.6,2.2,1.4,2022-01-11,1451,Aqua,MODIS,100,6.03,292,59.5,N,2
-21.016,164.6976,306.1,1.3,1.1,2022-01-13,1439,Aqua,MODIS,41,6.03,287,9.8,N,2
-21.0117,164.6914,321.1,1.3,1.1,2022-01-13,1439,Aqua,MODIS,100,6.03,285.2,26.9,N,2
-21.0147,164.6845,356.2,1.5,1.2,2022-01-16,1154,Terra,MODIS,100,6.03,290.7,130.5,N,3
-21.0135,164.6975,313.1,1.8,1.3,2022-01-16,2249,Terra,MODIS,0,6.03,293.5,12,D,2
-21.0101,164.687,327.7,1.2,1.1,2022-01-17,1414,Aqua,MODIS,97,6.03,292.5,0,N,2
-21.0121,164.6895,318.7,1,1,2022-01-21,2307,Terra,MODIS,0,6.03,282.6,12.9,D,2
-21.0149,164.686,324.5,1.6,1.2,2022-01-22,1117,Terra,MODIS,100,6.03,291.1,42,N,3
-21.0094,164.6882,368.9,1.1,1,2022-01-22,1433,Aqua,MODIS,100,6.03,293.9,129,N,2
-21.0109,164.6989,312,1.1,1,2022-01-22,1433,Aqua,MODIS,84,6.03,292.8,11.4,N,2
-21.0155,164.6977,326.5,1.4,1.2,2022-01-23,2255,Terra,MODIS,0,6.03,297.6,30,D,2
-21.0134,164.6924,311.1,1,1,2022-01-24,1420,Aqua,MODIS,82,6.03,294.9,9.8,N,2
-21.0159,164.681,331.9,1.2,1.1,2022-01-25,1148,Terra,MODIS,100,6.03,294.5,37.2,N,3
-21.0162,164.6822,328.8,1.3,1.1,2022-01-29,1123,Terra,MODIS,100,6.03,291.3,35.2,N,3
-21.0122,164.6886,322,1,1,2022-02-03,1142,Terra,MODIS,100,6.03,292.7,18.4,N,2
-21.0137,164.6786,324.8,1,1,2022-02-03,1142,Terra,MODIS,100,6.03,292.8,19.7,N,3
-21.0172,164.6977,312.2,1.6,1.3,2022-02-05,1445,Aqua,MODIS,78,6.03,288.2,22.7,N,2
-21.0192,164.6945,302.2,1,1,2022-03-01,2312,Terra,MODIS,35,6.03,280.9,3.4,D,2
-21.0126,164.6869,323.7,1.3,1.1,2022-03-02,1122,Terra,MODIS,100,6.03,293.7,28.3,N,2
-21.0126,164.6916,364.1,1,1,2022-03-04,1425,Aqua,MODIS,100,6.03,294.8,96.6,N,2
-21.0109,164.6957,307.8,1.6,1.2,2022-03-09,1444,Aqua,MODIS,57,6.03,294.2,13.2,N,2
-21.0134,164.6909,329,1,1,2022-03-10,2306,Terra,MODIS,0,6.03,300.8,22.2,D,2
