latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-34.8999,173.2202,315.3,4.2,1.9,2022-01-01,0137,Aqua,MODIS,29,6.03,301.2,74.6,D,0
-34.9024,173.2376,311.8,4.2,1.9,2022-01-01,0315,Aqua,MODIS,0,6.03,299.5,52.8,D,0
-34.9044,173.2094,316.9,2.1,1.4,2022-01-01,2158,Terra,MODIS,27,6.03,298.6,25.8,D,0
-38.9313,174.7516,314,1,1,2022-01-02,0219,Aqua,MODIS,61,6.03,298.4,8.3,D,0
-38.9329,174.7399,320.8,1,1,2022-01-02,0219,Aqua,MODIS,74,6.03,298.5,14.8,D,0
-38.1943,176.3045,309.3,1,1,2022-01-02,0220,Aqua,MODIS,27,6.03,296.3,4.5,D,0
-34.893,173.1812,331,1,1,2022-01-02,0221,Aqua,MODIS,53,6.03,309.6,21.8,D,0
-34.9083,173.2076,342.5,1,1,2022-01-02,0221,Aqua,MODIS,68,6.03,314.6,37.3,D,0
-35.6475,173.6952,317.9,1.3,1.1,2022-01-04,0208,Aqua,MODIS,69,6.03,296.7,18.2,D,0
-35.6491,173.6811,318,1.3,1.1,2022-01-04,0208,Aqua,MODIS,54,6.03,296.7,18.5,D,0
-34.6992,172.9655,315.5,1,1,2022-01-04,2228,Terra,MODIS,53,6.03,304.3,9.3,D,0
-43.5575,172.5184,315.1,1.1,1,2022-01-04,2230,Terra,MODIS,31,6.03,299,6.3,D,2
-43.9061,171.7442,313.6,1,1,2022-01-04,2231,Terra,MODIS,33,6.03,301.3,6.6,D,2
-38.0666,176.5898,300.2,1,1,2022-01-06,2216,Terra,MODIS,19,6.03,288.3,3.2,D,0
-43.3086,170.6137,302.5,1.1,1.1,2022-01-06,2218,Terra,MODIS,24,6.03,288.7,4.5,D,0
-44.6635,168.9713,303.5,1,1,2022-01-09,1142,Terra,MODIS,45,6.03,282.9,7.5,N,0
-44.6545,168.9688,303.8,1,1,2022-01-09,1142,Terra,MODIS,50,6.03,281.5,7.4,N,0
-44.6539,168.9599,300.1,1.2,1.1,2022-01-09,1332,Aqua,MODIS,16,6.03,283,9,N,0
-44.6567,168.9753,307.8,1.2,1.1,2022-01-09,1332,Aqua,MODIS,73,6.03,283.3,14.6,N,0
-34.9028,173.218,318.2,2.6,1.6,2022-01-10,2151,Terra,MODIS,34,6.03,299.5,37.6,D,0
-34.6906,172.9671,314.3,1,1,2022-01-11,2234,Terra,MODIS,28,6.03,303.4,8.9,D,0
-34.6998,172.9653,316.2,1,1,2022-01-11,2234,Terra,MODIS,49,6.03,304.2,10.1,D,0
-36.9857,174.7868,317.6,1,1,2022-01-13,2222,Terra,MODIS,35,6.03,301.6,6.5,D,0
-38.9296,174.5555,347.1,1,1,2022-01-13,2223,Terra,MODIS,95,6.03,298.1,55.1,D,0
-38.9312,174.5673,327.2,1,1,2022-01-13,2223,Terra,MODIS,85,6.03,297.2,23.3,D,0
-39.2243,174.368,310.8,1,1,2022-01-13,2223,Terra,MODIS,67,6.03,297.9,7.1,D,0
