latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
45.2187,29.5946,330.8,1.5,1.2,2022-01-05,1128,Aqua,MODIS,87,6.03,286.4,54,D,0
45.2169,29.5755,334.8,1.5,1.2,2022-01-05,1128,Aqua,MODIS,89,6.03,286.7,64.1,D,0
45.203,29.5644,321.4,1.5,1.2,2022-01-05,1128,Aqua,MODIS,43,6.03,286.2,32.8,D,0
45.2044,29.5584,321.3,1.5,1.2,2022-01-05,1128,Aqua,MODIS,81,6.03,286.2,36.2,D,0
45.2061,29.5775,314.6,1.5,1.2,2022-01-05,1128,Aqua,MODIS,75,6.03,286.1,25.7,D,0
45.2265,29.5663,301.4,2.8,1.6,2022-01-05,1908,Terra,MODIS,41,6.03,277.1,39.3,N,0
44.0854,23.0557,300.1,1,1,2022-01-07,0926,Terra,MODIS,0,6.03,271.4,7.5,D,0
47.3252,27.2627,309.4,1.4,1.2,2022-01-14,0931,Terra,MODIS,68,6.03,277.8,20.1,D,0
47.6699,27.154,301.5,1.3,1.1,2022-01-14,0931,Terra,MODIS,47,6.03,276.6,12.3,D,0
46.7352,27.9196,303.9,1.1,1.1,2022-01-14,1122,Aqua,MODIS,57,6.03,279,10.8,D,0
46.7956,27.9354,312.6,1.1,1.1,2022-01-14,1122,Aqua,MODIS,73,6.03,279.8,17,D,0
46.7939,27.9205,318.4,1.1,1.1,2022-01-14,1122,Aqua,MODIS,78,6.03,280.3,23.1,D,0
46.6989,27.3614,320,1.1,1,2022-01-14,1122,Aqua,MODIS,80,6.03,280.5,24.2,D,0
44.8935,29.0999,306.5,1.2,1.1,2022-01-14,1122,Aqua,MODIS,48,6.03,275.9,14.4,D,0
46.4134,27.6474,303.3,1.8,1.3,2022-01-15,0836,Terra,MODIS,56,6.03,274.9,23.1,D,0
45.9315,27.3201,301.3,2.8,1.6,2022-01-15,1027,Aqua,MODIS,45,6.03,279,32.2,D,0
45.9295,27.3285,307.3,2.8,1.6,2022-01-15,1027,Aqua,MODIS,65,6.03,279.3,51.2,D,0
45.0814,26.3816,301.4,3.2,1.7,2022-01-15,1205,Aqua,MODIS,47,6.03,278.5,43.6,D,0
46.1228,24.4169,304.2,2.6,1.5,2022-01-15,1205,Aqua,MODIS,58,6.03,274.6,40.5,D,0
46.1183,24.4219,304.6,2.6,1.5,2022-01-15,1205,Aqua,MODIS,56,6.03,274.4,41.1,D,0
46.1175,27.0893,301.5,3.6,1.8,2022-01-15,1205,Aqua,MODIS,47,6.03,276.3,51.3,D,0
45.0685,26.392,306.8,3.2,1.7,2022-01-15,1205,Aqua,MODIS,64,6.03,278.7,56.5,D,0
46.8465,27.6104,315.3,1.1,1,2022-01-16,0919,Terra,MODIS,76,6.03,273.3,19.6,D,0
47.277,27.1231,304.9,1.1,1,2022-01-16,0919,Terra,MODIS,60,6.03,277.1,10.7,D,0
