latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
17.378,-62.7623,318.8,1.2,1.1,2022-01-02,1725,Aqua,MODIS,66,6.03,298.4,17,D,0
17.3864,-62.8544,323.6,1,1,2022-05-06,1743,Aqua,MODIS,0,6.03,304.4,12.3,D,0
17.3045,-62.7098,315.5,1.9,1.4,2022-05-09,1504,Terra,MODIS,0,6.03,301.9,23.8,D,2
17.3482,-62.8283,345.4,1.1,1,2022-05-22,1433,Terra,MODIS,70,6.03,302.2,51.7,D,0
17.3393,-62.8177,332.5,1,1,2022-05-22,1741,Aqua,MODIS,0,6.03,300.6,26.5,D,0
17.3469,-62.8285,359,1,1,2022-05-22,1741,Aqua,MODIS,71,6.03,303.3,78.1,D,0
17.3048,-62.7164,322.8,1.5,1.2,2022-06-02,1721,Aqua,MODIS,51,6.03,304.4,25.5,D,2
17.3051,-62.7166,310.5,3.2,1.7,2022-06-08,1515,Terra,MODIS,21,6.03,294.4,38.2,D,2
17.3075,-62.7017,314.7,1.9,1.3,2022-06-10,1502,Terra,MODIS,0,6.03,298.6,22.4,D,0
17.3488,-62.8308,313.5,1.9,1.3,2022-06-10,1502,Terra,MODIS,0,6.03,299.2,21,D,0
17.3057,-62.7074,315.1,2.2,1.4,2022-08-21,1411,Terra,MODIS,0,6.03,295.8,20.9,D,0
17.3114,-62.7228,317.1,1.6,1.3,2022-08-26,1721,Aqua,MODIS,0,6.03,300.8,18.8,D,0
17.3052,-62.7109,318.7,2,1.4,2022-08-27,1804,Aqua,MODIS,0,6.03,299.5,27.6,D,2
