latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
14.1383,-14.2415,301.6,1.1,1.1,2022-01-01,0232,Aqua,MODIS,5,6.03,278,7.7,N,0
13.9477,-13.408,301.6,1,1,2022-01-01,0232,Aqua,MODIS,28,6.03,280.3,4.5,N,0
13.9386,-13.4094,308.1,1,1,2022-01-01,0232,Aqua,MODIS,74,6.03,288.7,9.1,N,0
14.1398,-14.2519,307.8,1.1,1.1,2022-01-01,0232,Aqua,MODIS,58,6.03,277.8,12.1,N,0
12.4237,-11.9336,303.3,1,1,2022-01-01,0233,Aqua,MODIS,54,6.03,291.6,5.3,N,0
13.1814,-12.1327,305.9,1,1,2022-01-01,0233,Aqua,MODIS,66,6.03,292.2,7.2,N,0
12.4251,-11.9428,317.8,1,1,2022-01-01,0233,Aqua,MODIS,96,6.03,293.6,16,N,0
12.9245,-13.0183,301,1,1,2022-01-01,0233,Aqua,MODIS,36,6.03,289.5,5.1,N,0
12.9586,-12.0578,302.4,1,1,2022-01-01,0233,Aqua,MODIS,49,6.03,289.4,5.5,N,0
12.9808,-12.037,325.5,2.8,1.6,2022-01-01,1150,Terra,MODIS,73,6.03,307.1,54.4,D,0
13.1572,-13.5946,327.4,2.1,1.4,2022-01-01,1150,Terra,MODIS,75,6.03,306.4,47.4,D,0
13.1538,-13.5756,321.6,2.1,1.4,2022-01-01,1150,Terra,MODIS,64,6.03,307.8,29.5,D,0
13.157,-13.6011,316.9,2.1,1.4,2022-01-01,1150,Terra,MODIS,33,6.03,305.1,16.6,D,0
13.1538,-13.582,328.7,2.1,1.4,2022-01-01,1150,Terra,MODIS,77,6.03,308.1,54.8,D,0
13.0305,-13.1709,334.1,2.3,1.5,2022-01-01,1150,Terra,MODIS,83,6.03,306.9,81.7,D,0
13.0175,-13.1733,323.4,2.3,1.5,2022-01-01,1150,Terra,MODIS,51,6.03,308.2,36.1,D,0
14.15,-14.2436,330.6,1.8,1.3,2022-01-01,1150,Terra,MODIS,59,6.03,305.2,36.4,D,0
13.0202,-13.1784,336.8,2.3,1.5,2022-01-01,1150,Terra,MODIS,86,6.03,308,92.3,D,0
12.9956,-13.5763,316.4,2.1,1.4,2022-01-01,1150,Terra,MODIS,46,6.03,305.3,20.1,D,0
12.9922,-13.5569,322.7,2.2,1.4,2022-01-01,1150,Terra,MODIS,69,6.03,306.3,38.9,D,0
12.947,-13.2978,323.5,2.3,1.5,2022-01-01,1150,Terra,MODIS,70,6.03,306.2,40.2,D,0
12.9434,-13.2773,317.4,2.3,1.5,2022-01-01,1150,Terra,MODIS,53,6.03,305.8,21,D,0
16.4982,-16.2195,320.4,1.2,1.1,2022-01-01,1150,Terra,MODIS,56,6.03,301.4,14.3,D,0
12.791,-12.4151,318.1,2.7,1.6,2022-01-01,1150,Terra,MODIS,56,6.03,306.3,28.3,D,0
16.4964,-16.2082,318.7,1.2,1.1,2022-01-01,1150,Terra,MODIS,48,6.03,302,13.4,D,0
12.7692,-12.2934,319.8,2.7,1.6,2022-01-01,1150,Terra,MODIS,63,6.03,305.8,34.3,D,0
12.9341,-13.3002,350.6,2.3,1.5,2022-01-01,1150,Terra,MODIS,95,6.03,307.3,177.3,D,0
12.9305,-13.2796,320.4,2.3,1.5,2022-01-01,1150,Terra,MODIS,59,6.03,305.8,28.7,D,0
12.6572,-11.7554,319.2,3,1.7,2022-01-01,1150,Terra,MODIS,61,6.03,305.7,32.1,D,0
12.6522,-11.728,321.8,3,1.7,2022-01-01,1150,Terra,MODIS,68,6.03,305.1,46.7,D,0
12.932,-13.3636,321.9,2.2,1.4,2022-01-01,1150,Terra,MODIS,64,6.03,306.5,32.9,D,0
12.9925,-13.5634,322.7,2.2,1.4,2022-01-01,1150,Terra,MODIS,67,6.03,306.3,35.8,D,0
12.9364,-13.3064,342.9,2.3,1.5,2022-01-01,1150,Terra,MODIS,90,6.03,306.6,125.8,D,0
12.9329,-13.2858,338.9,2.3,1.5,2022-01-01,1150,Terra,MODIS,88,6.03,306.8,104.6,D,0
12.7862,-12.4223,318.1,2.7,1.6,2022-01-01,1150,Terra,MODIS,60,6.03,306.5,28.3,D,0
12.7654,-12.3008,316.5,2.7,1.6,2022-01-01,1150,Terra,MODIS,46,6.03,305.5,20.5,D,0
12.9338,-13.3699,318.9,2.2,1.4,2022-01-01,1150,Terra,MODIS,59,6.03,306.6,25.1,D,0
12.9304,-13.3496,317.4,2.2,1.5,2022-01-01,1150,Terra,MODIS,54,6.03,306.5,20.9,D,0
