latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-25.628,28.0879,314.3,2.2,1.4,2022-01-01,0843,Terra,MODIS,65,6.03,298.6,21.9,D,2
-29.1364,25.4571,320.7,1.6,1.3,2022-01-01,0844,Terra,MODIS,67,6.03,305.4,16.8,D,0
-29.1378,25.4624,318,1.6,1.3,2022-01-01,0844,Terra,MODIS,43,6.03,304.8,10.6,D,0
-29.1618,30.7135,310.4,1.5,1.2,2022-01-01,1132,Aqua,MODIS,25,6.03,296.3,6,D,0
-28.6825,32.1368,312.9,1.2,1.1,2022-01-01,1132,Aqua,MODIS,23,6.03,298.1,7.8,D,0
-29.8702,24.4987,321.5,4,1.9,2022-01-01,1132,Aqua,MODIS,65,6.03,306.2,62,D,0
-29.7664,24.3934,337.7,4.1,1.9,2022-01-01,1132,Aqua,MODIS,88,6.03,307,224.1,D,0
-29.7638,24.389,333.6,4.1,1.9,2022-01-01,1132,Aqua,MODIS,80,6.03,307.1,175.7,D,0
-29.867,24.4947,321.6,4,1.9,2022-01-01,1132,Aqua,MODIS,73,6.03,306.1,68.3,D,0
-25.7919,29.4988,315.4,1.6,1.3,2022-01-01,1133,Aqua,MODIS,23,6.03,298.8,10.9,D,2
-25.0944,30.4136,312.9,1.4,1.2,2022-01-01,1133,Aqua,MODIS,32,6.03,298.7,6.4,D,0
-25.4921,27.1001,304.3,1,1,2022-01-01,2051,Terra,MODIS,59,6.03,292.5,5.4,N,2
-25.8114,29.4956,301.5,1.1,1.1,2022-01-01,2051,Terra,MODIS,41,6.03,289.3,5.6,N,2
-25.7149,27.4068,304.1,1,1,2022-01-01,2051,Terra,MODIS,59,6.03,292.3,5.5,N,2
-25.6221,27.221,309.2,1,1,2022-01-01,2051,Terra,MODIS,77,6.03,293.2,8.5,N,2
-25.661,27.8349,306.9,1,1,2022-01-01,2051,Terra,MODIS,70,6.03,292.1,7.7,N,2
-24.8175,30.1238,300.2,1.3,1.1,2022-01-01,2051,Terra,MODIS,14,6.03,289.8,5,N,2
-24.8195,30.1115,300.9,1.3,1.1,2022-01-01,2051,Terra,MODIS,34,6.03,289.5,5.4,N,2
-24.7432,30.1984,306.4,1.3,1.1,2022-01-01,2051,Terra,MODIS,68,6.03,292.9,9,N,2
-24.7438,30.2002,320.4,1.6,1.2,2022-01-02,0748,Terra,MODIS,67,6.03,302.3,16.8,D,2
-25.7106,27.4052,316.3,2.3,1.5,2022-01-02,0748,Terra,MODIS,62,6.03,299,22.6,D,2
-26.5554,29.165,314.8,1.7,1.3,2022-01-02,0748,Terra,MODIS,31,6.03,297,14.5,D,2
-29.985,24.6617,322.8,2.8,1.6,2022-01-02,0750,Terra,MODIS,71,6.03,302.7,45.7,D,0
-29.9913,24.6906,319.8,2.8,1.6,2022-01-02,0750,Terra,MODIS,53,6.03,304.5,33.8,D,0
-29.9717,24.6594,320.4,2.8,1.6,2022-01-02,0750,Terra,MODIS,61,6.03,303.7,32,D,0
-29.9782,24.6883,321.5,2.8,1.6,2022-01-02,0750,Terra,MODIS,54,6.03,303.7,38.8,D,0
-34.0012,24.4275,320.7,1,1,2022-01-02,1214,Aqua,MODIS,69,6.03,304,12.2,D,0
-33.9634,18.5944,322.3,2.1,1.4,2022-01-02,1214,Aqua,MODIS,68,6.03,303.9,20.9,D,2
-33.9653,18.5714,324.3,2.1,1.4,2022-01-02,1214,Aqua,MODIS,71,6.03,304.2,27.2,D,2
-25.7089,27.4026,303.4,1.4,1.2,2022-01-02,2313,Aqua,MODIS,55,6.03,289.7,10.8,N,2
-26.7345,25.3705,315.9,1.1,1,2022-01-03,0831,Terra,MODIS,25,6.03,296.1,9.2,D,0
-25.6642,27.8385,313.9,1.3,1.1,2022-01-03,0831,Terra,MODIS,56,6.03,300.2,9.1,D,2
-25.7226,28.3408,321.5,1.4,1.2,2022-01-03,0831,Terra,MODIS,51,6.03,302.6,11.3,D,2
-25.7487,28.1952,320.8,1.4,1.2,2022-01-03,0831,Terra,MODIS,35,6.03,302,13.2,D,2
-25.8401,28.1063,317.8,1.4,1.2,2022-01-03,0831,Terra,MODIS,69,6.03,302.3,14.1,D,2
-25.9185,28.088,318.1,1.4,1.2,2022-01-03,0831,Terra,MODIS,31,6.03,300.4,12.8,D,2
-25.925,28.143,317.5,1.4,1.2,2022-01-03,0831,Terra,MODIS,53,6.03,300.2,10.8,D,2
-26.0141,28.1246,317.6,1.4,1.2,2022-01-03,0831,Terra,MODIS,35,6.03,301.7,10.9,D,2
-26.1028,28.6984,311.9,1.5,1.2,2022-01-03,0831,Terra,MODIS,55,6.03,299.3,9.8,D,0
-26.0746,28.2719,316.4,1.4,1.2,2022-01-03,0831,Terra,MODIS,26,6.03,301.7,10,D,0
-26.1062,28.1331,323,1.4,1.2,2022-01-03,0831,Terra,MODIS,33,6.03,301.5,16.5,D,2
-26.2348,28.1309,320.4,1.4,1.2,2022-01-03,0831,Terra,MODIS,29,6.03,300.4,12.2,D,2
-26.2934,28.2664,312.9,1.4,1.2,2022-01-03,0831,Terra,MODIS,55,6.03,300.8,8.8,D,0
-26.3104,28.1352,319.5,1.4,1.2,2022-01-03,0831,Terra,MODIS,36,6.03,302.4,11.4,D,2
-26.4324,28.0777,312,1.4,1.2,2022-01-03,0831,Terra,MODIS,43,6.03,300.9,7.9,D,2
-26.5531,29.1664,322.6,1.6,1.3,2022-01-03,0831,Terra,MODIS,78,6.03,303.5,29.4,D,2
