latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
8.2266,80.234,304.7,1.2,1.1,2022-01-05,0800,Aqua,MODIS,32,6.03,288.5,3.9,D,0
9.052,79.8079,309.8,2.2,1.4,2022-01-06,0534,Terra,MODIS,0,6.03,295.5,12.4,D,0
8.958,80.5136,310.8,1,1,2022-01-19,0503,Terra,MODIS,58,6.03,297.1,5.5,D,0
8.9689,79.9924,312.8,1,1,2022-01-19,0503,Terra,MODIS,59,6.03,298.2,6.5,D,0
8.6808,80.0007,333.6,1,1,2022-01-19,0812,Aqua,MODIS,86,6.03,302.2,28.3,D,0
8.6821,80.0097,322.3,1,1,2022-01-19,0812,Aqua,MODIS,62,6.03,301,14.6,D,0
7.0037,80.574,322.9,1.2,1.1,2022-01-21,0800,Aqua,MODIS,77,6.03,301.1,18.4,D,0
7.0084,80.5773,321.9,1.2,1.1,2022-01-21,0800,Aqua,MODIS,75,6.03,301,17.6,D,0
8.7012,80.0024,325,1.2,1.1,2022-01-21,0800,Aqua,MODIS,79,6.03,300.2,23.1,D,0
7.7373,80.2113,315.4,1,1,2022-01-26,0510,Terra,MODIS,67,6.03,301.6,6.4,D,0
7.7275,80.2147,330.4,1.1,1,2022-01-26,0818,Aqua,MODIS,82,6.03,303.5,22.3,D,0
7.7369,80.2134,318.8,1.1,1,2022-01-26,0818,Aqua,MODIS,68,6.03,301.5,7.6,D,0
7.8283,80.028,318.8,1.1,1,2022-01-26,0818,Aqua,MODIS,69,6.03,303.3,7.9,D,0
7.827,80.0182,322.8,1.1,1,2022-01-26,0818,Aqua,MODIS,75,6.03,303.9,12.2,D,0
6.7115,80.086,314.8,1.1,1.1,2022-01-28,0458,Terra,MODIS,63,6.03,300,6.6,D,0
7.7271,80.2084,319.9,1,1,2022-01-28,0806,Aqua,MODIS,73,6.03,299.4,9.5,D,0
6.4615,80.7269,311.1,1.5,1.2,2022-01-30,0753,Aqua,MODIS,53,6.03,293.9,7.5,D,0
7.5274,81.1853,313.1,1.3,1.1,2022-01-30,0754,Aqua,MODIS,53,6.03,296.6,9.5,D,0
7.2029,80.6619,311.4,2.5,1.5,2022-02-01,0741,Aqua,MODIS,46,6.03,298.5,19.8,D,0
7.21,80.6565,314.5,2.5,1.5,2022-02-01,0741,Aqua,MODIS,64,6.03,298.1,30.8,D,0
9.1428,80.1274,325.9,1.1,1.1,2022-02-02,0515,Terra,MODIS,80,6.03,302.7,20.6,D,0
7.7493,80.1995,314.2,1.2,1.1,2022-02-02,0516,Terra,MODIS,64,6.03,301.4,7.2,D,0
8.4102,80.3381,316.3,1.4,1.2,2022-02-02,0824,Aqua,MODIS,62,6.03,303.3,9.5,D,0
6.8605,81.0378,316.5,4.1,1.9,2022-02-03,0729,Aqua,MODIS,66,6.03,294.3,90.1,D,0
6.8485,81.0339,314.1,4.1,1.9,2022-02-03,0729,Aqua,MODIS,60,6.03,294.5,76,D,0
7.2191,80.684,309.9,1,1,2022-02-04,0504,Terra,MODIS,43,6.03,297.8,4,D,0
6.8728,81.0292,312.5,1,1,2022-02-04,0504,Terra,MODIS,63,6.03,294.9,7.6,D,0
6.8705,81.0307,313.9,1,1,2022-02-04,0812,Aqua,MODIS,48,6.03,301.9,6.1,D,0
7.2071,80.6825,316.1,1,1,2022-02-04,0812,Aqua,MODIS,45,6.03,300.7,7.6,D,0
7.4371,80.6833,316,1,1,2022-02-04,0812,Aqua,MODIS,54,6.03,303.8,7.1,D,0
