latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
1.854,-56.0076,339.1,1.3,1.1,2022-01-09,1422,Terra,MODIS,91,6.03,292.5,55.1,D,0
1.8557,-56.0193,353.1,1.3,1.1,2022-01-09,1422,Terra,MODIS,97,6.03,296.1,96.4,D,0
1.8522,-55.9959,311,1.3,1.1,2022-01-09,1422,Terra,MODIS,68,6.03,293.6,7.2,D,0
2.0333,-55.947,314.1,1.1,1.1,2022-01-09,1727,Aqua,MODIS,37,6.03,293.7,7.5,D,0
2.3649,-56.813,315.2,1.1,1,2022-01-11,1715,Aqua,MODIS,67,6.03,291.3,11.3,D,0
5.6767,-55.3104,316.1,1,1,2022-01-11,1715,Aqua,MODIS,70,6.03,297.4,8.1,D,0
2.3663,-56.8034,333.1,1.1,1,2022-01-11,1715,Aqua,MODIS,87,6.03,291.7,33.4,D,0
5.8391,-56.2343,320.3,1,1,2022-01-18,1722,Aqua,MODIS,74,6.03,298.1,11.9,D,0
5.9042,-56.8802,313.9,1,1,2022-01-18,1722,Aqua,MODIS,59,6.03,300.5,5.3,D,0
5.9017,-56.4739,318.7,1.8,1.3,2022-02-08,1740,Aqua,MODIS,66,6.03,297.1,25.6,D,0
5.9036,-56.8741,317,2.3,1.5,2022-03-27,1655,Aqua,MODIS,75,6.03,292.9,35.3,D,0
5.8747,-56.8665,313.4,1,1,2022-03-30,1725,Aqua,MODIS,51,6.03,293.6,5.4,D,0
5.8734,-56.8758,316.5,1,1,2022-03-30,1725,Aqua,MODIS,66,6.03,293,8.1,D,0
5.8614,-57.0243,312.9,1,1,2022-03-30,1725,Aqua,MODIS,61,6.03,289.5,6.3,D,0
5.881,-56.9521,317.1,1,1,2022-03-30,1725,Aqua,MODIS,54,6.03,292.2,8.5,D,0
5.8894,-56.9496,314.7,1,1,2022-03-30,1725,Aqua,MODIS,44,6.03,292,6.1,D,0
5.9403,-57.0292,316.2,1.1,1,2022-04-01,1406,Terra,MODIS,67,6.03,297.6,7,D,0
5.8221,-56.8493,323.6,1.1,1,2022-04-01,1406,Terra,MODIS,77,6.03,297.4,15.3,D,0
5.7933,-56.8163,315.5,1.2,1.1,2022-04-17,1711,Aqua,MODIS,68,6.03,297.7,9,D,0
