latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
40.2434,69.282,302.7,1,1,2022-01-14,0615,Terra,MODIS,53,6.03,281.2,7.3,D,2
37.3332,69.3783,301.9,2.1,1.4,2022-02-05,0903,Aqua,MODIS,43,6.03,289,11.2,D,0
37.3313,69.3549,310.7,2.1,1.4,2022-02-05,0903,Aqua,MODIS,70,6.03,288.9,27.7,D,0
37.4338,69.3604,309.1,2.1,1.4,2022-02-05,0903,Aqua,MODIS,68,6.03,289.6,23.2,D,0
37.3316,69.3715,301.1,4,1.9,2022-02-10,0922,Aqua,MODIS,20,6.03,286.8,27,D,0
37.3373,69.3625,307.8,4,1.9,2022-02-10,0922,Aqua,MODIS,64,6.03,287,60.4,D,0
37.2227,68.1056,302.8,1.7,1.3,2022-02-11,0640,Terra,MODIS,40,6.03,291.1,7,D,0
37.2188,68.1245,303.4,1.7,1.3,2022-02-11,0640,Terra,MODIS,56,6.03,290.6,8.5,D,0
38.5504,68.7773,301.8,1.1,1,2022-02-11,0827,Aqua,MODIS,48,6.03,282.5,4.8,D,2
37.2984,69.391,328.4,1.4,1.2,2022-02-13,0814,Aqua,MODIS,85,6.03,284.3,41.4,D,0
37.3061,69.3987,315.8,1.4,1.2,2022-02-13,0814,Aqua,MODIS,75,6.03,285.3,21,D,0
37.3031,69.383,324.3,1.4,1.2,2022-02-13,0814,Aqua,MODIS,83,6.03,284.2,35.2,D,0
37.2769,68.7093,304.8,1.6,1.2,2022-02-13,0814,Aqua,MODIS,57,6.03,285.1,10.8,D,0
37.1415,69.199,309.7,1,1,2022-02-18,0832,Aqua,MODIS,64,6.03,291.7,7.9,D,0
37.2663,69.0393,314.3,1.3,1.1,2022-02-20,0820,Aqua,MODIS,71,6.03,292.7,14.6,D,0
37.3076,68.0144,311.2,1.4,1.2,2022-02-20,0820,Aqua,MODIS,63,6.03,296.2,9.6,D,0
37.6048,68.5611,309.1,1.3,1.1,2022-02-20,0820,Aqua,MODIS,50,6.03,294,8.1,D,0
38.3347,69.0565,304,1.2,1.1,2022-02-20,0820,Aqua,MODIS,37,6.03,290,4.1,D,0
37.2854,69.3891,327.4,2,1.4,2022-02-21,0903,Aqua,MODIS,63,6.03,290.6,66.6,D,0
37.2883,69.3813,315.4,2,1.4,2022-02-21,0903,Aqua,MODIS,67,6.03,290.9,34.8,D,0
37.3041,67.9962,313.2,1.2,1.1,2022-02-27,0826,Aqua,MODIS,64,6.03,300.3,8.4,D,0
38.5481,68.7829,308.5,1.1,1,2022-02-27,0826,Aqua,MODIS,65,6.03,293.1,4.6,D,2
38.5531,68.7762,309.5,1.1,1,2022-02-27,0826,Aqua,MODIS,66,6.03,292.9,6.5,D,2
38.5524,68.7848,306.5,1.1,1,2022-03-10,0620,Terra,MODIS,20,6.03,288.9,5.9,D,2
37.2044,68.4785,316.4,1.1,1.1,2022-03-27,0849,Aqua,MODIS,30,6.03,298.2,5,D,0
37.4032,68.155,324.2,1.2,1.1,2022-03-31,0824,Aqua,MODIS,73,6.03,300.5,20.7,D,0
37.434,69.3732,325.6,1.7,1.3,2022-04-09,0632,Terra,MODIS,76,6.03,299.3,31,D,0
37.4357,69.3671,318,1.7,1.3,2022-04-09,0632,Terra,MODIS,61,6.03,300.3,16.8,D,0
39.8724,70.5056,312.7,1,1,2022-04-13,0607,Terra,MODIS,54,6.03,298.9,2.9,D,0
37.5925,69.5499,338.7,1,1,2022-04-23,0828,Aqua,MODIS,86,6.03,305.3,31.9,D,0
37.6015,69.5477,370.3,1,1,2022-04-23,0828,Aqua,MODIS,100,6.03,307.9,111.6,D,0
37.5997,69.5362,335.5,1,1,2022-04-23,0828,Aqua,MODIS,83,6.03,308.1,26.6,D,0
