latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
13.4838,-14.527,321.1,1.8,1.3,2022-01-01,1150,Terra,MODIS,44,6.03,307.6,21.1,D,0
13.2762,-14.1891,353.1,1.6,1.2,2022-01-02,1406,Aqua,MODIS,96,6.03,311.5,110.4,D,0
13.2785,-14.1747,323.3,1.6,1.2,2022-01-02,1406,Aqua,MODIS,67,6.03,311.1,14,D,0
13.2784,-14.1798,335.9,1.6,1.2,2022-01-02,1406,Aqua,MODIS,84,6.03,311.2,45.5,D,0
13.276,-14.1942,341.8,1.6,1.2,2022-01-02,1406,Aqua,MODIS,89,6.03,310.7,64.4,D,0
13.4679,-13.997,300.5,1.3,1.1,2022-01-02,2324,Terra,MODIS,29,6.03,289.3,5.7,N,0
13.4719,-14.0053,322.1,1.2,1.1,2022-01-03,1138,Terra,MODIS,24,6.03,311.3,10,D,0
13.4702,-13.9943,327.3,1.2,1.1,2022-01-03,1138,Terra,MODIS,65,6.03,309.5,18.2,D,0
13.2869,-14.1922,330.7,1.2,1.1,2022-01-03,1138,Terra,MODIS,80,6.03,309,21.9,D,0
13.2852,-14.1814,331,1.2,1.1,2022-01-03,1138,Terra,MODIS,80,6.03,310.4,22.6,D,0
13.2835,-14.1706,323.7,1.2,1.1,2022-01-03,1138,Terra,MODIS,68,6.03,310.7,11.6,D,0
13.2772,-14.1937,332.4,1.2,1.1,2022-01-03,1138,Terra,MODIS,82,6.03,310.1,24.8,D,0
13.4479,-14.0278,315.3,2.1,1.4,2022-01-03,1449,Aqua,MODIS,21,6.03,284.8,23.7,D,0
13.3779,-15.7345,320.8,3.6,1.8,2022-01-04,1354,Aqua,MODIS,53,6.03,309.1,53.8,D,0
13.3977,-14.2571,322.6,2.8,1.6,2022-01-04,1354,Aqua,MODIS,62,6.03,310.2,36.9,D,0
13.3776,-15.7079,319.5,3.6,1.8,2022-01-04,1354,Aqua,MODIS,35,6.03,307.4,48.1,D,0
13.2652,-15.832,325.1,1.1,1,2022-01-05,1437,Aqua,MODIS,56,6.03,309.5,10.5,D,0
13.3977,-13.8509,345,1,1,2022-01-07,1425,Aqua,MODIS,90,6.03,314.2,34.3,D,0
