latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
23.9271,53.7203,300.8,1,1,2022-01-01,2216,Aqua,MODIS,34,6.03,287.9,5,N,0
24.1312,52.7137,300.8,2.8,1.6,2022-01-11,2253,Aqua,MODIS,34,6.03,284.9,28.4,N,2
24.1171,52.7103,314.4,2.8,1.6,2022-01-11,2253,Aqua,MODIS,89,6.03,284,67.7,N,0
24.1287,52.7061,318.6,2.8,1.6,2022-01-11,2253,Aqua,MODIS,97,6.03,284.9,85,N,0
23.188,54.6123,303.4,1.6,1.2,2022-01-13,1811,Terra,MODIS,55,6.03,287.3,15,N,0
23.1908,54.6131,304.8,1,1,2022-01-18,1830,Terra,MODIS,48,6.03,287.9,8.3,N,0
23.192,54.6135,301.6,1.3,1.1,2022-01-20,1817,Terra,MODIS,43,6.03,287.6,8.7,N,0
23.1973,54.6224,302.1,1,1,2022-01-25,1836,Terra,MODIS,47,6.03,285.5,7.8,N,0
23.196,54.6123,312.1,1,1,2022-01-25,1836,Terra,MODIS,84,6.03,285.5,14.7,N,0
24.1158,52.7538,325.2,2,1.4,2022-02-01,0925,Aqua,MODIS,67,6.03,305.4,32.6,D,0
24.1121,52.7346,320.5,2,1.4,2022-02-01,0925,Aqua,MODIS,50,6.03,307,19.1,D,2
24.1337,52.6981,303.8,1.6,1.2,2022-02-05,1817,Terra,MODIS,57,6.03,289,11.4,N,0
24.131,52.7058,301.3,1.2,1.1,2022-02-08,1848,Terra,MODIS,40,6.03,287.5,6.4,N,0
24.1207,52.7028,308.1,2.7,1.6,2022-02-12,2252,Aqua,MODIS,74,6.03,286.7,42.1,N,0
23.3098,54.1742,315.5,1.8,1.3,2022-02-15,1854,Terra,MODIS,91,6.03,287.9,36.9,N,0
23.3198,54.1847,306.5,2.3,1.5,2022-02-15,2145,Aqua,MODIS,68,6.03,287.7,34.5,N,0
24.1308,52.7009,317.8,2.1,1.4,2022-02-17,0924,Aqua,MODIS,40,6.03,304.1,19.5,D,0
24.1254,52.6991,302.6,1,1,2022-02-17,1841,Terra,MODIS,50,6.03,289.4,5.7,N,0
25.4211,55.7557,304.4,1,1,2022-02-19,1829,Terra,MODIS,60,6.03,288.1,7.8,N,0
24.11,52.7565,308.9,1.8,1.3,2022-02-22,1900,Terra,MODIS,76,6.03,288.5,25.6,N,2
24.1157,52.7502,332.1,1.8,1.3,2022-02-22,1900,Terra,MODIS,100,6.03,289.4,81.3,N,0
